client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,1329,328,588,374,39,0,0,0,0,0,0
0,test_set,570,145,261,156,8,0,0,0,0,0,0
1,train_set,1327,314,592,369,52,0,0,0,0,0,0
1,test_set,569,146,246,160,17,0,0,0,0,0,0
2,train_set,1335,326,600,377,32,0,0,0,0,0,0
2,test_set,573,142,278,138,15,0,0,0,0,0,0
3,train_set,1325,303,618,362,42,0,0,0,0,0,0
3,test_set,569,137,252,156,24,0,0,0,0,0,0
4,train_set,1330,338,600,356,36,0,0,0,0,0,0
4,test_set,571,113,261,184,13,0,0,0,0,0,0
5,train_set,1338,314,610,380,34,0,0,0,0,0,0
5,test_set,574,155,227,169,23,0,0,0,0,0,0
6,train_set,1329,324,568,398,39,0,0,0,0,0,0
6,test_set,570,132,279,144,15,0,0,0,0,0,0
7,train_set,1294,0,0,0,0,698,11,585,0,0,0
7,test_set,555,0,0,0,0,303,5,247,0,0,0
8,train_set,1299,0,0,0,0,658,18,623,0,0,0
8,test_set,558,0,0,0,0,304,7,247,0,0,0
9,train_set,1296,0,0,0,0,666,9,621,0,0,0
9,test_set,556,0,0,0,0,281,11,264,0,0,0
10,train_set,1290,0,0,0,0,660,10,620,0,0,0
10,test_set,553,0,0,0,0,280,4,269,0,0,0
11,train_set,1297,0,0,0,0,683,13,601,0,0,0
11,test_set,557,0,0,0,0,284,2,271,0,0,0
12,train_set,1292,0,0,0,0,664,4,624,0,0,0
12,test_set,554,0,0,0,0,297,2,255,0,0,0
13,train_set,1288,0,0,0,0,699,10,579,0,0,0
13,test_set,553,0,0,0,0,310,3,240,0,0,0
14,train_set,1295,0,0,0,0,672,6,617,0,0,0
14,test_set,555,0,0,0,0,306,4,245,0,0,0
15,train_set,1288,0,0,0,0,672,14,602,0,0,0
15,test_set,552,0,0,0,0,298,2,252,0,0,0
16,train_set,1300,0,0,0,0,639,12,649,0,0,0
16,test_set,558,0,0,0,0,270,5,283,0,0,0
17,train_set,1287,0,0,0,0,649,9,629,0,0,0
17,test_set,552,0,0,0,0,278,3,271,0,0,0
18,train_set,1282,0,0,0,0,649,12,621,0,0,0
18,test_set,550,0,0,0,0,286,6,258,0,0,0
19,train_set,1279,0,0,0,0,656,12,611,0,0,0
19,test_set,549,0,0,0,0,286,6,257,0,0,0
20,train_set,1293,0,0,0,0,670,16,607,0,0,0
20,test_set,555,0,0,0,0,278,6,271,0,0,0
21,train_set,1293,0,0,0,0,0,0,0,372,157,764
21,test_set,555,0,0,0,0,0,0,0,144,60,351
22,train_set,1299,0,0,0,0,0,0,0,365,169,765
22,test_set,558,0,0,0,0,0,0,0,169,68,321
23,train_set,1294,0,0,0,0,0,0,0,344,146,804
23,test_set,555,0,0,0,0,0,0,0,157,69,329
24,train_set,1292,0,0,0,0,0,0,0,395,152,745
24,test_set,554,0,0,0,0,0,0,0,167,66,321
25,train_set,1307,0,0,0,0,0,0,0,379,161,767
25,test_set,561,0,0,0,0,0,0,0,150,72,339
26,train_set,1312,0,0,0,0,0,0,0,362,161,789
26,test_set,563,0,0,0,0,0,0,0,180,78,305
27,train_set,1309,0,0,0,0,0,0,0,368,153,788
27,test_set,561,0,0,0,0,0,0,0,147,78,336
28,train_set,1304,0,0,0,0,0,0,0,396,130,778
28,test_set,559,0,0,0,0,0,0,0,155,67,337
29,train_set,1283,0,0,0,0,0,0,0,364,175,744
29,test_set,551,0,0,0,0,0,0,0,157,70,324
